3,1DT18IS003,"Dharvi shekhar",2001-11-28,dharvshekar@gmail.com,9090909090
4,1DT18IS004,"Remo D'suza",2001-11-28,dharvshekar@gmail.com,9090909090
6,1DT18IS006,Raghunandhan,2001-11-28,rthika@gmail.com,987456123
10,1DT18IS010,"Kim Taehyung",1999-05-12,kimtaehyungbts@gmail.com,87852989898
11,1DT18IS011,"Ravi Kumar",1999-05-12,ravkumarkumar@gmail.com,87852256398
12,1DT18IS012,"Joen Jungkook",1998-05-05,joenjungkookbts@gmail.com,874593210
13,1DT18IS013,"Kim Soek Jin",2000-12-11,btskimsoekjin@gmail.com,9873216540
14,1DT18IS014,"Chinmay Suresh",2000-02-23,chinmaysureshsuresh@gmail.com,9873886540
15,1DT18IS015,"Anaga Mathad",2000-02-23,anagamathadh@gmail.com,9873886000
16,1DT18IS016,"Radhika Mythri",1999-02-23,mythrradhkamythri@gmail.com,9223886000
17,1DT18IS017,"Kaushik verma",1999-08-23,kaushikverma5678@gmail.com,91234511000
18,1DT18IS018,"Lithika shanthi",1998-08-23,shanthilikitha234@gmail.com,7893214650
19,1DT18IS019,"Lalitha Rao",1999-07-14,lalitharaorao@gmail.com,7893214650
20,1DT18IS020,"Tharun kumar verma",1999-07-14,tharunkumarverma@gmail.com,7893266650
21,1DT18IS021,"Shruthi Suresh",1998-07-14,shruthisuresh739@gmail.com,7397394650
22,1DT18IS022,"Sree Charan M",1998-06-11,sreecharanm@gmail.com,7396546650



23,1DT18IS991,"Dharvi shekhar",1999-12-30,dharvshekar@gmail.com,9585754515
24,1DT18IS007,"Ujwal Kumar",1999-12-30,Ujwalkumar@gmail.com,876512340
25,1DT18IS029,"Latha M",1999-12-30,LathaM8090@gmail.com,876512340
26,1DT18IS031,"Kalki yadhav",1999-12-30,kalkiyadhav@gmail.com,876332340
27,1DT18IS039,"Utsav Kumar",1999-12-30,Utsavkumarvmware@gmail.com,876332340
28,1DT18IS044,"Naveen santhanam",1998-04-07,naveensanthanam@gmail.com,999332340
8,1DT18IS008,"Monisha Mekala",1999-06-12,monishasmekaala@gmail.com,9876125340
29,1DT18IS100,"Dharvi shekhar",2001-12-12,mmmmm@gmail.com,5555522222
30,1DT18IS101,"Dharvi shekhar",2001-12-12,mmmmm@gmail.com,5555522222

32,1DT18IS200,"Dharvi shekhar",2001-12-03,riya@gmail.om,9585754515

33,1DT18IS005,"Dharvi shekhar",2001-12-11,mmmmm@gmail.com,888666666444442
